,0,1
0,1,Power Cord
1,1,Milk
2,1,Eggs
3,1,Tape
4,2,Power Cord
5,2,Paint
6,2,Nails
7,2,Milk
8,2,Eggs
9,2,Cereal
10,3,Bracket
11,3,Glue
12,4,Power Cord
13,4,Paint
14,4,Glue
15,4,Cereal
16,4,Tape
17,5,Paint
18,5,Nails
19,5,Milk
20,6,Power Cord
21,6,Phone Charger
22,6,Paint
23,6,Mouse
24,6,Milk
25,6,King Crab
26,6,Keyboard
27,6,Glue
28,6,Eggs
29,6,Cereal
30,6,Tape
31,7,Power Cord
32,7,Paint
33,7,Nails
34,7,Mouse
35,7,Milk
36,7,Glue
37,7,Eggs
38,7,Cereal
39,7,Tape
40,8,Bracket
41,8,Brush
42,8,Steak
43,8,Shrimp
44,8,Power Cord
45,8,Phone Charger
46,8,Paint
47,8,Noodles
48,8,Nails
49,8,Mouse
50,8,Milk
51,8,King Crab
52,8,Keyboard
53,8,Glue
54,8,Eggs
55,8,Ear Buds
56,8,Cereal
57,8,Tape
58,9,Nails
59,9,Milk
60,9,King Crab
61,9,Glue
62,9,Eggs
63,9,Tape
64,10,Steak
65,10,Noodles
66,10,Nails
67,10,King Crab
68,10,Eggs
69,10,Cereal
70,11,Bracket
71,11,Brush
72,11,Steak
73,11,Shrimp
74,11,Power Cord
75,11,Phone Charger
76,11,Paint
77,11,Noodles
78,11,Nails
79,11,Mouse
80,11,Milk
81,11,King Crab
82,11,Keyboard
83,11,Glue
84,11,Eggs
85,11,Ear Buds
86,11,Cereal
87,11,Tape
88,13,Bracket
89,13,Brush
90,13,Steak
91,13,Shrimp
92,13,Power Cord
93,13,Phone Charger
94,13,Paint
95,13,Noodles
96,13,Nails
97,13,Mouse
98,13,Milk
99,13,King Crab
100,13,Keyboard
101,13,Glue
102,13,Eggs
103,13,Ear Buds
104,13,Cereal
105,13,Tape
106,15,Power Cord
107,15,Paint
108,15,Nails
109,15,Mouse
110,15,Milk
111,15,King Crab
112,15,Glue
113,15,Eggs
114,16,Steak
115,16,Nails
116,16,Mouse
117,16,Milk
118,17,Steak
119,17,Noodles
120,17,Mouse
121,17,Milk
122,18,Nails
123,18,Mouse
124,18,Milk
125,18,Cereal
126,19,Power Cord
127,19,Milk
128,19,Eggs
129,20,Cereal
130,21,Brush
131,21,Steak
132,21,Paint
133,21,Milk
134,21,King Crab
135,21,Eggs
136,21,Cereal
137,23,Power Cord
138,23,Milk
139,23,King Crab
140,23,Eggs
141,23,Cereal
142,24,Milk
143,24,Eggs
144,24,Cereal
145,25,Brush
146,25,Milk
147,25,Eggs
148,25,Cereal
149,26,Brush
150,26,Phone Charger
151,26,Paint
152,26,Nails
153,26,Milk
154,26,Tape
155,27,Phone Charger
156,27,Mouse
157,27,Milk
158,27,King Crab
159,27,Tape
160,28,Bracket
161,28,Brush
162,28,Power Cord
163,28,Phone Charger
164,28,Noodles
165,28,Nails
166,28,Mouse
167,28,Milk
168,28,King Crab
169,28,Keyboard
170,28,Glue
171,28,Eggs
172,28,Ear Buds
173,28,Cereal
174,28,Tape
175,29,Power Cord
176,29,Paint
177,29,Nails
178,29,Milk
179,29,King Crab
180,29,Glue
181,30,Brush
182,30,Paint
183,30,Nails
184,30,Glue
185,30,Tape
186,31,Tape
187,32,Milk
188,32,Tape
189,33,Milk
190,35,Milk
191,36,Power Cord
192,36,Nails
193,36,Milk
194,36,King Crab
195,36,Glue
196,36,Eggs
197,36,Tape
198,38,Bracket
199,38,Brush
200,38,Steak
201,38,Nails
202,38,Milk
203,38,King Crab
204,38,Glue
205,38,Eggs
206,38,Cereal
207,38,Tape
208,39,Paint
209,39,Nails
210,39,Milk
211,39,Glue
212,39,Eggs
213,39,Tape
214,40,Eggs
215,41,Bracket
216,41,Brush
217,41,Steak
218,41,Shrimp
219,41,Power Cord
220,41,Phone Charger
221,41,Paint
222,41,Nails
223,41,Milk
224,41,King Crab
225,41,Keyboard
226,41,Glue
227,41,Eggs
228,41,Ear Buds
229,41,Cereal
230,41,Tape
231,42,Brush
232,42,Power Cord
233,42,Phone Charger
234,42,Paint
235,42,Milk
236,42,Glue
237,42,Eggs
238,42,Cereal
239,42,Tape
240,43,Brush
241,43,Steak
242,43,Milk
243,43,King Crab
244,46,Shrimp
245,46,Noodles
246,46,King Crab
247,46,Eggs
248,46,Cereal
249,46,Tape
250,47,Brush
251,47,Steak
252,47,Power Cord
253,47,Paint
254,47,Nails
255,47,Mouse
256,47,Milk
257,47,King Crab
258,47,Glue
259,47,Eggs
260,47,Cereal
261,48,Bracket
262,48,Brush
263,48,Steak
264,48,Shrimp
265,48,Power Cord
266,48,Phone Charger
267,48,Paint
268,48,Noodles
269,48,Nails
270,48,Mouse
271,48,Milk
272,48,King Crab
273,48,Keyboard
274,48,Glue
275,48,Eggs
276,48,Ear Buds
277,48,Cereal
278,48,Tape
279,50,Bracket
280,50,Brush
281,50,Steak
282,50,Shrimp
283,50,Power Cord
284,50,Paint
285,50,Noodles
286,50,Nails
287,50,Mouse
288,50,King Crab
289,50,Keyboard
290,50,Glue
291,50,Eggs
292,50,Ear Buds
293,50,Tape
294,51,Bracket
295,51,Brush
296,51,Steak
297,51,Shrimp
298,51,Power Cord
299,51,Paint
300,51,Noodles
301,51,Nails
302,51,Mouse
303,51,Milk
304,51,King Crab
305,51,Glue
306,51,Eggs
307,51,Ear Buds
308,51,Cereal
309,51,Tape
310,53,Tape
311,55,Milk
312,57,Power Cord
313,57,Phone Charger
314,57,Noodles
315,57,King Crab
316,57,Eggs
