Store,Store Owner,Region Level 1,Region Level 2,Urban/Rural
1,00001,Eisenstadt-Umgebung,GWR,Urban
2,00001,Politischer Bezirk G?ssing,GWR,Urban
3,00001,Politischer Bezirk Jennersdorf,GWR,Urban
4,00001,Politischer Bezirk Jennersdorf,GWR,Urban
5,00001,Politischer Bezirk Oberpullendorf,GWR,Urban
6,00001,Politischer Bezirk Oberwart,GWR,Urban
7,00001,Villach Stadt,PUF,Urban
8,00001,Politischer Bezirk Hermagor,MSD,Rural
9,00002,Politischer Bezirk Klagenfurt Land,SQI,Urban
10,00002,Politischer Bezirk Sankt Veit an der Glan,SQI,Urban
11,00003,Politischer Bezirk Spittal an der Drau,OOO,Rural
12,00004,Politischer Bezirk Villach Land,JHJ,Urban
13,00005,Politischer Bezirk V?lkermarkt,KWA,Rural
14,00006,Politischer Bezirk Wolfsberg,QDA,Urban
15,00007,Politischer Bezirk Feldkirchen,WPH,Urban
16,00008,Krems an der Donau Stadt,FAC,Urban
17,00009,Sankt P?lten Stadt,GCG,Rural
18,00010,Wiener Neustadt Stadt,KCF,Rural
19,00010,Politischer Bezirk Amstetten,KCF,Urban
20,00010,Wiener Neustadt Stadt,KCF,Rural
21,00011,Politischer Bezirk Baden,NSX,Urban
22,00012,Politischer Bezirk Bruck an der Leitha,TPV,Urban
23,00011,Politischer Bezirk G?nserndorf,VSZ,Rural
24,00012,Politischer Bezirk Gm?nd,TPV,Rural
25,00010,Wiener Neustadt Stadt,KCF,Rural
26,00013,Politischer Bezirk Hollabrunn,QDA,Urban
27,00014,Politischer Bezirk Horn,IRG,Urban
28,00014,Politischer Bezirk Korneuburg,IRG,Rural
29,00012,Politischer Bezirk Gm?nd,TPV,Rural
30,00015,Politischer Bezirk Krems,TIG,Rural
31,00016,Politischer Bezirk V?lkermarkt,KWA,Rural
32,00017,Politischer Bezirk Lilienfeld,VSZ,Urban
33,00016,Politischer Bezirk Melk,KWA,Urban
34,00018,Politischer Bezirk Mistelbach,LAV,Urban
35,00019,Sankt P?lten Stadt,GCG,Rural
36,00020,Politischer Bezirk M?dling,NLG,Rural
37,00021,Politischer Bezirk Neunkirchen,PPM,Urban
38,00022,Politischer Bezirk Sankt P?lten,NSX,Rural
39,00023,Politischer Bezirk Scheibbs,JOP,Urban
40,00020,Politischer Bezirk Tulln,NLG,Urban
41,00024,Politischer Bezirk Waidhofen an der Thaya,YIU,Urban
42,00025,Politischer Bezirk Wiener Neustadt,QZN,Rural
43,00026,Politischer Bezirk Zwettl,WPH,Rural
44,00020,Wels Stadt,MEO,Urban
45,00027,Politischer Bezirk Braunau am Inn,ICA,Urban
46,00027,Politischer Bezirk Eferding,ICA,Rural
47,00028,Politischer Bezirk Freistadt,TZF,Rural
48,00029,Politischer Bezirk Gmunden,LRJ,Urban
49,00029,Politischer Bezirk Grieskirchen,LRJ,Urban
50,00028,Politischer Bezirk Freistadt,TZF,Rural
51,00030,Politischer Bezirk Kirchdorf an der Krems,SQI,Urban
52,00031,Politischer Bezirk Linz-Land,TOH,Urban
53,00032,Politischer Bezirk Perg,TZF,Urban
54,00028,Politischer Bezirk Ried im Innkreis,TZF,Urban
55,00033,Politischer Bezirk Rohrbach,MDM,Rural
56,00034,Politischer Bezirk Sch?rding,WJO,Urban
57,00035,Politischer Bezirk Steyr-Land,VFN,Rural
58,00036,Politischer Bezirk Urfahr-Umgebung,WFJ,Urban
59,00008,Krems an der Donau Stadt,FAC,Urban
60,00037,Politischer Bezirk V?cklabruck,IPP,Urban
61,00038,Wels-Land,LAV,Urban
62,00039,Politischer Bezirk Hallein,JLJ,Rural
63,00040,Politischer Bezirk Hallein,JLJ,Rural
64,00041,Politischer Bezirk Hallein,JLJ,Rural
65,00041,Politischer Bezirk Hallein,JLJ,Rural
66,00042,Politischer Bezirk Salzburg-Umgebung,PPM,Rural
67,00008,Krems an der Donau Stadt,FAC,Urban
68,00043,Politischer Bezirk Eferding,ICA,Rural
