Store,Item,Allocation
1,Bracket,0
1,Brush,0
1,Cereal,0
1,Ear Buds,0
1,Eggs,0
1,Glue,0
1,Keyboard,0
1,King Crab,0
1,Milk,0
1,Mouse,0
1,Nails,0
1,Noodles,0
1,Paint,0
1,Phone Charger,0
1,Power Cord,0
1,Shrimp,0
1,Steak,0
1,Tape,0
2,Bracket,0
2,Brush,0
2,Cereal,0
2,Ear Buds,0
2,Eggs,0
2,Glue,0
2,Keyboard,0
2,King Crab,0
2,Milk,0
2,Mouse,0
2,Nails,0
2,Noodles,0
2,Paint,0
2,Phone Charger,0
2,Power Cord,0
2,Shrimp,3
2,Steak,0
2,Tape,0
3,Bracket,0
3,Brush,3
3,Cereal,3
3,Ear Buds,0
3,Eggs,0
3,Glue,0
3,Keyboard,0
3,King Crab,0
3,Milk,0
3,Mouse,0
3,Nails,0
3,Noodles,0
3,Paint,0
3,Phone Charger,0
3,Power Cord,3
3,Shrimp,6
3,Steak,0
3,Tape,0
4,Bracket,0
4,Brush,0
4,Cereal,0
4,Ear Buds,0
4,Eggs,0
4,Glue,0
4,Keyboard,0
4,King Crab,0
4,Milk,0
4,Mouse,0
4,Nails,0
4,Noodles,3
4,Paint,0
4,Phone Charger,0
4,Power Cord,0
4,Shrimp,0
4,Steak,0
4,Tape,0
5,Bracket,0
5,Brush,0
5,Cereal,0
5,Ear Buds,0
5,Eggs,0
5,Glue,0
5,Keyboard,3
5,King Crab,0
5,Milk,0
5,Mouse,0
5,Nails,0
5,Noodles,0
5,Paint,0
5,Phone Charger,0
5,Power Cord,0
5,Shrimp,3
5,Steak,9
5,Tape,0
6,Bracket,3
6,Brush,0
6,Cereal,0
6,Ear Buds,0
6,Eggs,0
6,Glue,0
6,Keyboard,0
6,King Crab,0
6,Milk,0
6,Mouse,0
6,Nails,3
6,Noodles,3
6,Paint,0
6,Phone Charger,0
6,Power Cord,0
6,Shrimp,0
6,Steak,0
6,Tape,0
7,Bracket,0
7,Brush,0
7,Cereal,0
7,Ear Buds,0
7,Eggs,0
7,Glue,0
7,Keyboard,3
7,King Crab,0
7,Milk,0
7,Mouse,0
7,Nails,0
7,Noodles,3
7,Paint,0
